"""cueanexo""|""grado""|""turno""|""subtotal_por_turno"""
"""220016500""|""Sala de 4 años""|NULL|""3"""
"""220016500""|""Sala de 5 años""|""Mañana""|""1"""
"""220016500""|""Sala de 5 años""|NULL|""1"""
"""220016700""|""Sala de 4 años""|""Mañana""|""2"""
"""220016700""|""Sala de 4 años""|NULL|""2"""
"""220016900""|""Sala de 3 años""|""Mañana""|""4"""
"""220016900""|""Sala de 3 años""|NULL|""4"""
"""220016900""|""Sala de 4 años""|""Mañana""|""2"""
"""220016900""|""Sala de 4 años""|NULL|""2"""
"""220016900""|""Sala de 5 años""|""Mañana""|""3"""
"""220016900""|""Sala de 5 años""|NULL|""3"""
"""220017800""|""Sala de 3 años""|""Mañana""|""2"""
"""220017800""|""Sala de 3 años""|NULL|""2"""
"""220017800""|""Sala de 4 años""|""Mañana""|""5"""
"""220017800""|""Sala de 4 años""|NULL|""5"""
"""220017800""|""Sala de 5 años""|""Mañana""|""5"""
"""220017800""|""Sala de 5 años""|NULL|""5"""
"""220018000""|""Sala de 4 años""|""Mañana""|""3"""
"""220018000""|""Sala de 4 años""|NULL|""3"""
"""220018000""|""Sala de 5 años""|""Mañana""|""2"""
"""220018000""|""Sala de 5 años""|NULL|""2"""
"""220018100""|""Sala de 3 años""|""Mañana""|""7"""
"""220018100""|""Sala de 3 años""|""Tarde""|""18"""
"""220018100""|""Sala de 3 años""|NULL|""25"""
"""220018100""|""Sala de 4 años""|""Mañana""|""13"""
"""220018100""|""Sala de 4 años""|""Tarde""|""9"""
"""220018100""|""Sala de 4 años""|NULL|""22"""
"""220018100""|""Sala de 5 años""|""Mañana""|""14"""
"""220018100""|""Sala de 5 años""|""Tarde""|""10"""
"""220018100""|""Sala de 5 años""|NULL|""24"""
"""220018101""|""Sala de 4 años""|""Mañana""|""1"""
"""220018101""|""Sala de 4 años""|NULL|""1"""
"""220018101""|""Sala de 5 años""|""Mañana""|""1"""
"""220018101""|""Sala de 5 años""|NULL|""1"""
"""220018300""|""Sala de 3 años""|""Mañana""|""6"""
"""220018300""|""Sala de 3 años""|NULL|""6"""
"""220018300""|""Sala de 4 años""|""Mañana""|""9"""
"""220018300""|""Sala de 4 años""|NULL|""9"""
"""220018300""|""Sala de 5 años""|""Mañana""|""3"""
"""220018300""|""Sala de 5 años""|NULL|""3"""
"""220018301""|""Sala de 3 años""|""Mañana""|""4"""
"""220018301""|""Sala de 3 años""|NULL|""4"""
"""220018301""|""Sala de 4 años""|""Mañana""|""3"""
"""220018301""|""Sala de 4 años""|NULL|""3"""
"""220018301""|""Sala de 5 años""|""Mañana""|""3"""
"""220018301""|""Sala de 5 años""|NULL|""3"""
"""220018700""|""Sala de 3 años""|""Tarde""|""8"""
"""220018700""|""Sala de 3 años""|NULL|""8"""
"""220018700""|""Sala de 4 años""|""Tarde""|""7"""
"""220018700""|""Sala de 4 años""|NULL|""7"""
"""220018700""|""Sala de 5 años""|""Tarde""|""4"""
"""220018700""|""Sala de 5 años""|NULL|""4"""
"""220018800""|""Sala de 3 años""|""Mañana""|""2"""
"""220018800""|""Sala de 3 años""|NULL|""2"""
"""220018800""|""Sala de 4 años""|""Mañana""|""4"""
"""220018800""|""Sala de 4 años""|NULL|""4"""
"""220018800""|""Sala de 5 años""|""Mañana""|""3"""
"""220018800""|""Sala de 5 años""|NULL|""3"""
"""220019600""|""Sala de 4 años""|""Tarde""|""3"""
"""220019600""|""Sala de 4 años""|NULL|""3"""
"""220019600""|""Sala de 5 años""|""Tarde""|""2"""
"""220019600""|""Sala de 5 años""|NULL|""2"""
"""220019700""|""Sala de 3 años""|""Tarde""|""12"""
"""220019700""|""Sala de 3 años""|NULL|""12"""
"""220019700""|""Sala de 4 años""|""Tarde""|""21"""
"""220019700""|""Sala de 4 años""|NULL|""21"""
"""220019700""|""Sala de 5 años""|""Mañana""|""27"""
"""220019700""|""Sala de 5 años""|NULL|""27"""
"""220019800""|""Sala de 3 años""|""Mañana""|""3"""
"""220019800""|""Sala de 3 años""|NULL|""3"""
"""220019800""|""Sala de 4 años""|""Mañana""|""4"""
"""220019800""|""Sala de 4 años""|NULL|""4"""
"""220019800""|""Sala de 5 años""|""Mañana""|""5"""
"""220019800""|""Sala de 5 años""|NULL|""5"""
"""220020300""|""Sala de 3 años""|""Mañana""|""1"""
"""220020300""|""Sala de 3 años""|NULL|""1"""
"""220020300""|""Sala de 4 años""|""Mañana""|""12"""
"""220020300""|""Sala de 4 años""|NULL|""12"""
"""220020300""|""Sala de 5 años""|""Mañana""|""2"""
