"codigo"|"calles"|"long"|"lat"|"empresa"|"orden"|"distan_paradas"|"lineas"|"Unnamed: 8"
"C00592"|"JULIO A. ROCA Y CANGALLO"|"-58.993630000000003"|"-27.44648"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"39"|"395.0"|"Línea 9 B "|""
"C02274"|"AV. CHACO Y ARTURO ILLIA"|"-58.973869999999998"|"-27.46529"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"38"|"222.0"|"Línea 104 "|""
"C02511"|"Tatane y Juan B Justo"|"-58.946030000000000"|"-27.48848"|"Línea 203 Barranqueras - Puerto Vilelas IDA"|"32"|"367.0"|"Línea 203 "|""
"C02275"|"OBLIGADO Y SILVANO DANTE"|"-58.972920000000002"|"-27.46794"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"39"|"410.0"|"Línea 104 "|""
"C02512"|"Tatane y Obligado"|"-58.947730000000000"|"-27.49003"|"Línea 203 Barranqueras - Puerto Vilelas IDA"|"33"|"241.0"|"Línea 203 "|""
"C00593"|"JULIO A. ROCA Y AV BELGRANO"|"-58.991940000000000"|"-27.44798"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"40"|"236.0"|"Línea 9 B "|""
"C02276"|"OBLIGADO Y GOITIA"|"-58.971159999999998"|"-27.46949"|"Línea 104 Barrio Jorge Newbery - Barrio 200 Viviendas (Barranqueras)  IDA"|"40"|"245.0"|"Línea 104 "|""
"C00594"|"JULIO A. ROCA Y NECOCHEA"|"-58.990090000000002"|"-27.44964"|"Línea 9 B Hipermercado Libertad - Villa Don Andrés VUELTA"|"41"|"260.0"|"Línea 9 B "|""
"C01597"|"San Martin y Chacabuco"|"-59.041640000000001"|"-27.40488"|"Línea 205 Fontana - Resistencia VUELTA"|"2"|"212.0"|"Línea 205 "|""
"C01599"|"San Martin y Chaco"|"-59.046720000000001"|"-27.40951"|"Línea 205 Fontana - Resistencia VUELTA"|"6"|"245.0"|"Línea 205 "|""
